id	ipa	count	rasm
1f6fa6f69d18	min	2366	مِن مِنَ مِّن مِّنَ مِنۡ مِّنۡ مِنۢ مِّنۢ
bdd1703602e8	ʔalːaːh	2153	ٱللَّهِ ٱللَّهُ ٱللَّهَ
f04ae4c55ba7	fiː	1185	فِى فِىٓ فِّى
6626b3126926	maː	1013	مَا مَّا مَآ مَّآ
4efa12758d87	laː	812	لَا لَّا لَآ لَّآ
3598368645fe	ʔalːaðiːn	810	ٱلَّذِينَ
86a672517894	ʕalaː	671	عَلَىٰ عَلَى عَلَىٰٓ عَلَا
02eed23dee80	ʔilːaː	664	إِلَّا إِلَّآ إِلاًّ
25c0771c31a7	walaː	658	وَلَا وَلَآ
dc7bc45b3732	wamaː	646	وَمَا وَمَآ
8615887af64c	ʔinː̃	609	إِنَّ
d33797a0be0a	ʔan	539	أَن أَنۡ أَنِ أَنۢ
c72ebae0cdfd	qaːl	416	قَالَ قَـٰلَ
4c2c90f1dbe4	ʔilaː	405	إِلَىٰ إِلَى إِلَىٰٓ
48b676e2b107	man	393	مَن مَنۡ مَّن مَّنۡ مَنِ مَنۢ مَّنِ
65fdf4b51d57	lahum	373	لَهُمۡ لَهُم لَهُمُ لَّهُمۡ لَّهُم لَّهُمُ
40621bb136c7	ʔin	357	إِن إِنۡ إِنِ
6ada4abc64c0	lakum	337	لَكُمۡ لَكُم لَّكُمۡ لَكُمُ لَّكُم
261ec19d7b09	θumː̃	337	ثُمَّ
5d1c433a4233	kaːn	323	كَانَ
a2808a968882	bihiː	298	بِهِۦ بِهِۦٓ بِّهِۦ
4349adf5ff99	bimaː	296	بِمَا بِمَآ
7738c6d37373	qul	293	قُلۡ قُل قُلِ
058a4b6b3c2e	ʔalʔardˤ	287	ٱلۡأَرۡضِ ٱلۡأَرۡضَ ٱلۡأَرۡضُ
eca7a2542fd8	ðaːlik	280	ذٰلِكَ ذّٰلِكَ
4e47b28234f3	ʔaw	280	أَوۡ أَوِ أَو
f5ed6bc9de4a	ʔalːaðiː	268	ٱلَّذِى ٱلَّذِىٓ
1e0100d27740	huː	265	هُوَ
04fb78ddc42e	hum	260	هُمۡ هُمُ هُم
0fbd28d4d2bc	lahuː	259	لَهُۥ لَّهُۥ لَهُۥٓ لَهُوَ لَّهُۥٓ
51a30cde8bf9	ʔaːmanuː	253	ءَامَنُواۡ ءَامَنُوٓاۡ
f63c9bd1e605	qaːluː	250	قَالُواۡ قَالُوٓاۡ
b6efd777c60c	kulː	244	كُلِّ كُلَّ كُلُّ كُلٌّ كُلٍّ
5140436a5adf	fiːhaː	241	فِيهَا فِيهَآ
a2362d746e02	walːaːh	240	وَٱللَّهُ وَٱللَّهِ
54b6a51b0b13	waman	240	وَمَن وَمَنۡ وَمَنِ وَمَنۢ
611208b06f07	kaːnuː	229	كَانُواۡ كَانُوٓاۡ
5a8423125872	ʕan	223	عَن عَنِ عَنۡ عَنۢ
6892c80cda3e	ʔiðaː	221	إِذَا إِذًا إِذَآ
f7453d336bb7	jawm	217	يَوۡمَ يَوۡمِ يَوۡمٍ يَوۡمُ يَوۡمٌ
1ad6a0e52b19	ʕalajhim	214	عَلَيۡهِمۡ عَلَيۡهِم عَلَيۡهِمُ
cb97b86f20f8	ʃaːʔ	190	شَىۡءٍ شَىۡءٌ شَىۡءِۭ
304e876ce306	haːðaː	190	هَـٰذَا هَـٰذَآ
1dd630d78ef2	kafaruː	189	كَفَرُواۡ كَفَرُوٓاۡ
e4d7fe9304cd	kuⁿtum	188	كُنتُمۡ كُنتُم
e74abd7f7e0f	ʔanː̃aːs	182	ٱلنَّاسِ ٱلنَّاسَ ٱلنَّاسُ
41bd0e3019e6	ʔasːamaːwaːt	182	ٱلسَّمَـٰوٰتِ ٱلسَّمَـٰوٰتُ
