1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
1:2	ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِينَ	ʔalħamdu lilːaːhi rabːi lʕaːlamiːn
1:3	ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	ʔarːaħmaːni rːaħiːm
1:4	مَـٰلِكِ يَوۡمِ ٱلدِّينِ	maːliki jawmi dːiːn
1:5	إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ	ʔijːaːka naʕbudu waʔijːaːka nastaʕiːn
1:6	ٱهۡدِنَا ٱلصِّرٰطَ ٱلۡمُسۡتَقِيمَ	ʔihdinaː sˤːiraːtˤa lmustaqiːm
1:7	صِرٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ	sˤiraːtˤa lːaðiːna ʔanʕamta ʕalajhim ɣajri lmaɣdˤuːbi ʕalajhim walaː dˤːaːːːlːiːn
2:1	الٓمٓ	ʔalif laːːːm miːːːm
2:2	ذٰلِكَ ٱلۡكِتَـٰبُ لَا رَيۡبَ‌ۛ فِيهِ‌ۛ هُدًى لِّلۡمُتَّقِينَ	ðaːlika lkitaːbu laː rajba fiːhi huda lːilmutːaqiːn
2:3	ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَـٰهُمۡ يُنفِقُونَ	ʔalːaðiːna juʔminuːna bilɣajbi wajuqiːmuːna sˤːalaːta wamimː̃aː razaqᵊnaːhum juⁿfiquːn
2:4	وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأَخِرَةِ هُمۡ يُوقِنُونَ	walːaðiːna juʔminuːna bimaːː ʔuⁿzila ʔilajka wamaːː ʔuⁿzila miⁿ qabᵊlika wabilʔaxirati hum juːqinuːn
2:5	أُوۡلَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمۡ‌ۖ وَأُوۡلَـٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ	ʔulaːːʔika ʕalaː huda mː̃i rːabːihim waʔulaːːʔika humu lmufliħuːn
2:6	إِنَّ ٱلَّذِينَ كَفَرُواۡ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ	ʔinː̃a lːaðiːna kafaruː sawaːːʔun ʕalajhim ʔaʔaⁿðartahum ʔam lam tuⁿðirhum laː juʔminuːn
2:7	خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡ‌ۖ وَعَلَىٰٓ أَبۡصَـٰرِهِمۡ غِشَـٰوَةٌ‌ۖ وَلَهُمۡ عَذَابٌ عَظِيمٌ	xatama lːaːhu ʕalaː quluːbihim waʕalaː samʕihim waʕalaːː ʔabᵊsˤaːrihim ɣiʃaːwatu w̃ːalahum ʕaðaːbun ʕaðˤiːm
2:8	وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأَخِرِ وَمَا هُم بِمُؤۡمِنِينَ	wamina nː̃aːsi ma j̃ːaquːlu ʔaːmanː̃aː bilːaːhi wabiljawmi lʔaxiri wamaː huᵐ bimuʔminiːn
2:9	يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواۡ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ	juxaːdiʕuːna lːaːha walːaðiːna ʔaːmanuː wamaː jaxdaʕuːna ʔilːaːː ʔaⁿfusahum wamaː jaʃʕuruːn
2:10	فِى قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضًا‌ۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواۡ يَكۡذِبُونَ	fiː quluːbihi mː̃aradˤuⁿ fazaːdahumu lːaːhu maradˤa w̃ːalahum ʕaðaːbun ʔaliːmuᵐ bimaː kaːnuː jakðibuːn
2:11	وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواۡ فِى ٱلۡأَرۡضِ قَالُوٓاۡ إِنَّمَا نَحۡنُ مُصۡلِحُونَ	waʔiðaː qiːla lahum laː tufsiduː fiː lʔardˤi qaːluːː ʔinː̃amaː naħnu musˤliħuːn
