ayah	i	form
1:1	0	fee59aa0cc47
1:1	1	bdd1703602e8
1:1	2	4e7757855667
1:1	3	3d1d7b0f3aa4
1:2	0	a48f8a018635
1:2	1	153a81e1f94a
1:2	2	cd2d80476e36
1:2	3	2158c091dd4a
1:3	0	4e7757855667
1:3	1	3d1d7b0f3aa4
1:4	0	8f5a7cc2565f
1:4	1	f7453d336bb7
1:4	2	8632ccb78643
1:5	0	80755a671807
1:5	1	c9f0c649026a
1:5	2	4e70ba2d0948
1:5	3	713685faf928
1:6	0	5629a1dbe551
1:6	1	598428e34503
1:6	2	fd34c3077ab7
1:7	0	3389725e1e3f
1:7	1	3598368645fe
1:7	2	ea5f82edb0fd
1:7	3	1ad6a0e52b19
1:7	4	d0f567cd8c54
1:7	5	6d912d3e8113
1:7	6	1ad6a0e52b19
1:7	7	25c0771c31a7
1:7	8	9f6fbc27d936
2:1	0	a1eec2395918
2:2	0	eca7a2542fd8
2:2	1	efdae7094530
2:2	2	4efa12758d87
2:2	3	a3ee267a52cb
2:2	4	3fb751e365b0
2:2	5	ffcff3827cee
2:2	6	3fc33aa39743
2:3	0	3598368645fe
2:3	1	5c08ac76759d
2:3	2	72c274050ef4
2:3	3	0693be93a4d9
2:3	4	533872a87fbf
2:3	5	861b48e576eb
2:3	6	2c48b9c08e70
2:3	7	a627e727c444
2:4	0	6a9741d5e788
2:4	1	5c08ac76759d
2:4	2	4349adf5ff99
2:4	3	2ae9c4449d8f
2:4	4	656c570374a8
2:4	5	dc7bc45b3732
2:4	6	2ae9c4449d8f
2:4	7	1f6fa6f69d18
2:4	8	588cbca29045
2:4	9	a6f33b331962
2:4	10	04fb78ddc42e
2:4	11	66de2033bf8f
2:5	0	28517a7695ee
2:5	1	86a672517894
2:5	2	ffcff3827cee
2:5	3	1f6fa6f69d18
2:5	4	e7a945f30426
2:5	5	3bfe6b18e0f6
2:5	6	04fb78ddc42e
2:5	7	206edd80a3a1
2:6	0	8615887af64c
2:6	1	3598368645fe
2:6	2	1dd630d78ef2
2:6	3	5841c1d571bc
